Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,346,330,389,415,589,287,1162,0.0,False
jmeter_view_issue,14415,174,151,269,317,374,108,1220,0.0,False
jmeter_search_jql,4667,521,497,646,691,774,365,1407,0.0,False
jmeter_view_dashboard,4233,90,81,127,145,188,58,1094,0.0,False
jmeter_view_scrum_board,3390,132,123,202,267,339,66,1136,0.0,False
jmeter_view_backlog,2534,401,380,539,568,623,272,1262,0.0,False
jmeter_create_issue:open_quick_create,1697,74,63,106,119,151,49,1067,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,174,152,250,268,302,128,1076,0.0,False
jmeter_view_kanban_board,2956,131,100,231,301,355,76,1110,0.0,False
jmeter_browse_projects,3799,53,47,76,91,118,33,253,0.0,False
jmeter_edit_issue:open_editor,2113,93,78,146,169,212,61,414,0.0,False
jmeter_edit_issue:save_edit,2113,200,183,273,305,383,101,500,0.0,False
jmeter_view_project_summary,1267,95,82,144,167,211,53,292,0.0,False
jmeter_add_comment:open_comment,841,65,55,102,122,150,38,252,0.0,False
jmeter_add_comment:save_comment,841,217,190,337,362,402,148,476,0.0,False
jmeter_browse_boards,414,54,52,61,66,93,42,144,0.0,False
selenium_login:open_login_page,243,118,112,120,131,157,104,991,0.0,False
selenium_login:login_and_view_dashboard,243,464,450,493,505,544,414,2355,0.0,False
selenium_login,243,582,567,608,623,666,524,3347,0.0,False
selenium_browse_projects_list,243,248,243,262,282,336,223,462,0.0,False
selenium_browse_boards_list,243,265,236,259,276,778,221,1734,0.0,False
selenium_create_issue:open_quick_create,243,673,672,709,724,765,624,789,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,243,608,608,616,619,625,592,637,0.0,False
selenium_create_issue:fill_and_submit_issue_form,243,1102,1104,1141,1150,1174,997,1267,0.0,False
selenium_create_issue,243,1775,1778,1835,1853,1888,1642,2056,0.0,False
selenium_edit_issue:open_edit_issue_form,243,443,412,567,591,614,368,791,0.0,False
selenium_edit_issue:save_edit_issue_form,243,533,521,610,630,677,445,709,0.0,False
selenium_edit_issue,243,1385,1374,1467,1502,1544,1263,1724,0.0,False
selenium_save_comment:open_comment_form,243,309,313,350,365,401,211,403,0.0,False
selenium_save_comment:submit_form,243,617,612,682,701,736,483,1476,0.0,False
selenium_save_comment,243,1077,1069,1143,1180,1501,926,1963,0.0,False
selenium_search_jql,243,1243,1231,1298,1349,1429,1147,2669,0.0,False
selenium_view_scrum_board_backlog,243,1091,1168,1225,1245,1299,756,3177,0.0,False
selenium_view_scrum_board,243,832,799,917,931,984,345,2630,0.0,False
selenium_view_kanban_board,243,786,730,1241,1291,1387,331,1421,0.0,False
selenium_view_dashboard,243,408,407,564,591,650,203,691,0.0,False
selenium_view_issue,243,532,532,600,621,664,395,1453,0.0,False
selenium_project_summary,243,363,344,429,455,509,259,1867,0.0,False
selenium_log_out,243,306,300,349,358,397,259,427,0.0,False
