Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,365,353,416,447,589,297,1415,0.0,False
jmeter_view_issue,14411,172,154,259,295,339,108,1061,0.0,False
jmeter_view_dashboard,4232,88,81,121,141,176,58,247,0.0,False
jmeter_view_scrum_board,3390,119,120,149,165,199,61,1051,0.0,False
jmeter_search_jql,4665,511,490,633,677,737,370,2442,0.0,False
jmeter_view_backlog,2533,384,357,581,625,678,233,936,0.0,False
jmeter_create_issue:open_quick_create,1697,77,66,123,138,166,48,213,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,181,158,273,295,333,124,472,0.0,False
jmeter_view_kanban_board,2956,127,103,196,223,367,73,1315,0.0,False
jmeter_browse_projects,3798,50,46,70,83,107,32,214,0.0,False
jmeter_edit_issue:open_editor,2113,93,81,145,167,197,60,927,0.0,False
jmeter_edit_issue:save_edit,2113,206,187,287,311,386,102,628,0.0,False
jmeter_view_project_summary,1267,95,84,153,172,208,51,272,0.0,False
jmeter_add_comment:open_comment,840,61,56,86,99,121,39,162,0.0,False
jmeter_add_comment:save_comment,840,211,197,280,314,366,153,536,0.0,False
jmeter_browse_boards,414,56,55,64,67,95,39,171,0.0,False
selenium_login:open_login_page,225,121,117,128,141,184,107,469,0.0,False
selenium_login:login_and_view_dashboard,225,490,479,516,523,570,436,2263,0.0,False
selenium_login,225,613,597,638,653,781,551,2733,0.0,False
selenium_browse_projects_list,225,256,253,267,278,315,229,481,0.0,False
selenium_browse_boards_list,225,266,249,261,279,771,235,1780,0.0,False
selenium_create_issue:open_quick_create,225,707,718,756,766,791,626,850,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,225,613,613,621,623,628,598,687,0.0,False
selenium_create_issue:fill_and_submit_issue_form,225,1120,1118,1165,1171,1202,1010,1253,0.0,False
selenium_create_issue,225,1828,1836,1905,1926,1964,1655,2103,0.0,False
selenium_edit_issue:open_edit_issue_form,225,471,433,605,630,660,386,795,0.0,False
selenium_edit_issue:save_edit_issue_form,225,555,548,618,639,665,461,770,0.0,False
selenium_edit_issue,225,1449,1440,1505,1529,1671,1312,1817,0.0,False
selenium_save_comment:open_comment_form,225,323,315,370,376,405,213,441,0.0,False
selenium_save_comment:submit_form,225,976,960,1026,1058,1172,825,2613,0.0,False
selenium_save_comment,225,1459,1442,1525,1563,1923,1271,3566,0.0,False
selenium_search_jql,225,1232,1228,1297,1331,1394,1067,2051,0.0,False
selenium_view_scrum_board_backlog,225,1113,1097,1276,1300,1332,780,3390,0.0,False
selenium_view_scrum_board,225,837,841,877,883,915,749,2615,0.0,False
selenium_view_kanban_board,225,824,798,1145,1268,1370,371,1484,0.0,False
selenium_view_dashboard,225,376,368,555,612,665,205,760,0.0,False
selenium_view_issue,225,844,836,928,953,1009,661,1539,0.0,False
selenium_project_summary,225,400,403,449,465,530,284,2058,0.0,False
selenium_log_out,225,327,323,361,388,421,281,582,0.0,False
