Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,329,316,369,399,532,274,547,0.0,False
jmeter_view_issue,13733,239,196,406,448,515,119,1350,0.0,False
jmeter_search_jql,4446,582,541,780,828,943,360,1927,0.0,False
jmeter_view_dashboard,4033,116,101,182,209,262,53,1204,0.0,False
jmeter_view_scrum_board,3230,159,139,264,323,405,69,623,0.0,False
jmeter_view_backlog,2414,431,382,650,701,789,255,1270,0.0,False
jmeter_create_issue:open_quick_create,1617,93,77,152,176,223,51,1183,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1617,216,177,353,395,447,133,602,0.0,False
jmeter_view_kanban_board,2818,159,126,255,298,479,75,943,6.0,False
jmeter_browse_projects,3620,66,57,104,123,160,34,896,0.0,False
jmeter_edit_issue:open_editor,2015,115,98,189,216,270,63,464,0.0,False
jmeter_edit_issue:save_edit,2015,189,155,305,344,458,103,1495,0.0,False
jmeter_view_project_summary,1207,108,94,168,195,239,56,353,0.0,False
jmeter_app_specific_action,2000,627,600,776,835,957,445,1423,0.0,True
jmeter_add_comment:open_comment,801,79,67,128,146,174,42,231,0.0,False
jmeter_add_comment:save_comment,801,281,240,445,489,562,160,836,0.0,False
jmeter_browse_boards,395,82,71,128,151,187,46,214,0.0,False
selenium_login:open_login_page,227,119,115,133,145,173,105,345,0.0,False
selenium_login:login_and_view_dashboard,227,463,444,502,537,988,399,1125,0.0,False
selenium_login,227,583,562,627,671,1165,510,1238,0.0,False
selenium_browse_projects_list,227,251,247,270,285,321,217,379,0.0,False
selenium_browse_boards_list,227,288,237,299,751,785,217,814,0.0,False
selenium_create_issue:open_quick_create,227,682,682,732,755,781,622,938,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,227,608,608,616,621,637,593,655,0.0,False
selenium_create_issue:fill_and_submit_issue_form,227,1106,1105,1142,1151,1294,1032,1459,0.0,False
selenium_create_issue,227,1788,1779,1861,1886,1980,1670,2273,0.0,False
selenium_edit_issue:open_edit_issue_form,227,484,457,590,614,661,378,797,0.0,False
selenium_edit_issue:save_edit_issue_form,227,536,528,611,629,671,433,706,0.0,False
selenium_edit_issue,227,1397,1388,1478,1508,1588,1243,1908,0.0,False
selenium_save_comment:open_comment_form,227,311,309,356,371,427,195,435,0.0,False
selenium_save_comment:submit_form,227,987,970,1093,1139,1240,831,1363,0.0,False
selenium_save_comment,227,1454,1444,1580,1618,1865,1282,1916,0.0,False
selenium_search_jql,227,1494,1462,1659,1720,1837,1328,2129,0.0,False
selenium_view_scrum_board_backlog,227,1105,1173,1243,1264,1308,759,1368,0.0,False
selenium_view_scrum_board,227,804,790,862,881,913,270,1075,0.0,False
selenium_view_kanban_board,227,681,651,1068,1156,1298,294,1391,0.0,False
selenium_view_dashboard,227,394,384,540,569,634,197,794,0.0,False
selenium_view_issue,227,819,810,923,978,1039,629,1088,0.0,False
selenium_project_summary,227,354,337,436,466,502,267,552,0.0,False
selenium_log_out,227,305,299,343,355,377,250,421,0.0,False
